Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2002,2.6626474306493746
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2002,82.76424692843773
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2002,3.5889617584350435
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,4.002649918564184
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2002,2.9739260742150773
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2002,77.54358092667958
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2002,17.409035621619136
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2002,0.2535419704454939
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,1.5190150432484324
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2002,0.20959227742835657
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2002,69.89346472247429
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2002,11.207006692852767
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2002,10.30053955597197
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,3.1760747712538206
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2002,0.8481544696004272
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2002,19.038537656075707
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2002,18.24072991256162
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2002,43.26310676118168
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,15.925681875427298
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2002,0.020127919110503403
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2002,93.30127559890924
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2002,1.0902984938050182
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2002,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,5.486264892663019
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2002,0.11850075950293736
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2003,2.495752582073289
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2003,83.88231839029037
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2003,3.5982971902541316
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,3.6663656649439123
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2003,3.2812847375658385
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2003,79.55556834863707
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2003,14.846539718592913
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2003,0.2697886437560022
